model,fingerprint,protocol,fold_a,fold_b,fold_pair,top_k,n_overlap,overlap,overlap_percent
Decision Tree,ecfp4,OOD holdout,1,2,1 vs 2,10,1,0.1,10.0
Decision Tree,ecfp4,OOD holdout,1,2,1 vs 2,20,1,0.05,5.0
Decision Tree,ecfp4,OOD holdout,1,2,1 vs 2,50,4,0.08,8.0
Decision Tree,ecfp4,OOD holdout,1,3,1 vs 3,10,0,0.0,0.0
Decision Tree,ecfp4,OOD holdout,1,3,1 vs 3,20,1,0.05,5.0
Decision Tree,ecfp4,OOD holdout,1,3,1 vs 3,50,7,0.14,14.0
Decision Tree,ecfp4,OOD holdout,2,3,2 vs 3,10,0,0.0,0.0
Decision Tree,ecfp4,OOD holdout,2,3,2 vs 3,20,0,0.0,0.0
Decision Tree,ecfp4,OOD holdout,2,3,2 vs 3,50,13,0.26,26.0
Decision Tree,ecfp4,Random shuffle,1,2,1 vs 2,10,1,0.1,10.0
Decision Tree,ecfp4,Random shuffle,1,2,1 vs 2,20,2,0.1,10.0
Decision Tree,ecfp4,Random shuffle,1,2,1 vs 2,50,8,0.16,16.0
Decision Tree,ecfp4,Random shuffle,1,3,1 vs 3,10,0,0.0,0.0
Decision Tree,ecfp4,Random shuffle,1,3,1 vs 3,20,1,0.05,5.0
Decision Tree,ecfp4,Random shuffle,1,3,1 vs 3,50,7,0.14,14.0
Decision Tree,ecfp4,Random shuffle,2,3,2 vs 3,10,1,0.1,10.0
Decision Tree,ecfp4,Random shuffle,2,3,2 vs 3,20,2,0.1,10.0
Decision Tree,ecfp4,Random shuffle,2,3,2 vs 3,50,9,0.18,18.0
Decision Tree,maccs,OOD holdout,1,2,1 vs 2,10,0,0.0,0.0
Decision Tree,maccs,OOD holdout,1,2,1 vs 2,20,3,0.15,15.0
Decision Tree,maccs,OOD holdout,1,2,1 vs 2,50,18,0.36,36.0
Decision Tree,maccs,OOD holdout,1,3,1 vs 3,10,0,0.0,0.0
